internal_hyperedge_id,PMID
414,33260956
415,33336163
416,33458710
417,33606024
418,33722512
419,33910945
420,33979585
421,34142025
422,34181872
423,34214067
424,34544686
425,34595996
426,34785137
427,34854378
428,35105568
429,35504668
430,35634359
431,35905720
432,36070696
433,36288690
434,36298466
435,36369103
436,36388981
437,36516765
438,36840944
439,36931337
440,36931691
441,36973954
442,37041702
443,37715190
444,37779536
445,37822610
446,37893110
447,37994973
448,11156084
449,12695859
450,12959703
451,15057428
452,15795118
453,15914710
454,15936442
455,15973665
456,16498847
457,16750999
458,16845007
459,18215326
460,18321385
461,18451706
462,19521337
463,19732731
464,21708899
465,23583034
466,20427329
467,22806007
468,22948379
469,23378256
470,23652271
471,23986206
472,24033495
473,24144535
474,24164337
475,24269184
476,24662380
477,24917550
478,25189717
479,25778396
480,26401079
481,26490785
482,26721883
483,26785710
484,26878754
485,27030618
486,27305752
487,27588486
488,27899803
489,28938533
490,28978592
491,29228558
492,29499768
493,29505775
494,29596062
495,29735503
496,29875247
497,29950423
498,29986377
499,30069687
500,30243369
501,30304689
502,30337283
503,30603703
504,30981637
505,30987042
506,31072628
507,31188076
508,31402190
509,31550083
510,31654705
511,31751149
512,31791993
513,31825613
514,31917687
515,32238469
516,32406817
517,32437230
518,32510333
519,32718986
520,32763583
521,33034841
522,33238003
523,33264104
524,33307169
525,33316234
526,33499970
527,33771891
528,33777580
529,34108142
530,34253812
531,34622175
532,34726156
533,34835092
534,34854376
535,34897511
536,35080754
537,35118353
538,35287794
539,35601920
540,35705939
541,35905725
542,36046201
543,36170836
544,36264633
545,36351376
546,36367046
547,36424374
548,36483155
549,36639333
550,36691221
551,36693361
552,36802270
553,36900266
554,37204831
555,37243132
556,37267918
557,37584493
558,37682717
559,37787611
560,37991697
561,38026219
562,10696253
563,11313376
564,15153791
565,15714988
566,18313956
567,18318586
568,19585860
569,19633798
570,20600875
571,20832364
572,20953939
573,21432058
574,23313935
575,23494635
576,23607276
577,20600868
578,23199499
579,24148260
580,24165954
581,24416823
582,24565040
583,24567824
584,24571435
585,25194005
586,25266072
587,26038127
588,26119158
589,26162571
590,26308749
591,26508779
592,26553921
593,26646453
594,26964553
595,26982091
596,26992230
597,27296505
598,27750220
599,27755184
600,28389069
601,28768913
602,29236046
603,29757192
604,29773655
605,30948419
606,31135381
607,31193280
608,31279869
609,31331955
610,31443341
611,31486236
612,31766602
613,31900289
614,32271163
615,32315287
616,32361594
617,32396996
618,32470143
619,32554188
620,32565438
621,33161964
622,33386567
623,33482825
624,33530000
625,33752595
626,33822776
627,33889824
628,33929319
629,34414957
630,34480981
631,34516533
632,34677899
633,34837488
634,35091120
635,35199366
636,35243376
637,35380249
638,35643905
639,35967287
640,36201246
641,36243926
642,36405776
643,36790939
644,36876126
645,36905629
646,37286312
647,37566545
648,37751288
649,37893220
650,37965142
651,10679401
652,11024199
653,11168245
654,12077267
655,12792771
656,14665517
657,14747766
658,15120646
659,16009259
660,16107235
661,16555702
662,16829725
663,17298340
664,17412401
665,17658620
666,18694676
667,19404245
668,20003649
669,21281484
670,21490181
671,21842385
672,21959933
673,22015563
674,22343568
675,22505544
676,15208593
677,16675331
678,23461413
679,23907711
680,23967739
681,24029471
682,24166880
683,24723169
684,25004109
685,25007815
686,25344022
687,25552608
688,25633468
689,25753671
690,25766219
691,26046326
692,26318040
693,26429413
694,26688860
695,26999798
696,27631352
697,28030847
698,28112529
699,28126366
700,28134842
701,28386934
702,28709817
703,28723576
704,29237258
705,29416596
706,29463401
707,29552142
708,29769448
709,30573663
710,30796080
711,30910251
712,31100314
713,31266349
714,31774179
715,31833242
716,31874109
717,32028590
718,32169907
719,32397425
720,32427587
721,32438322
722,32868370
723,33012636
724,33306940
725,33400687
726,33425431
727,33721112
728,33859379
729,33914704
